Month,#Passengers
2008-01,20995.44
2008-02,29215.11
2008-03,12555.82
2008-04,36106.25
2008-05,39280.99
2008-06,25012.84
2008-07,29374.27
2008-08,22575.66
2008-09,23273.15
2008-10,22760.38
2008-11,12364.1
2008-12,9757.11
2009-01,10309.22
2009-02,12881.72
2009-03,19212.55
2009-04,18174.7
2009-05,22497.12
2009-06,19260.43
2009-07,17559.42
2009-08,17364.74
2009-09,18113.72
2009-10,25092.22
2009-11,24970.33
2009-12,25809.55
2010-01,25038.63
2010-02,29671.73
2010-03,28921.82
2010-04,37245.34
2010-05,37174.13
2010-06,32209.41
2010-07,25903.5
2010-08,24910.47
2010-09,24015.66
2010-10,17912.82
2010-11,20511.6
2010-12,17325.47
2011-01,27760.64
2011-02,45906.67
2011-03,43513.92
2011-04,65642.32
2011-05,64100.14
2011-06,52156.05
2011-07,39419.89
2011-08,38753.1
2011-09,25434.65
2011-10,23872.98
2011-11,44882.67
2011-12,33543.45
2012-01,45791.78
2012-02,47124.18
2012-03,48799.21
2012-04,69195.7
2012-05,52254.84
2012-06,46932.26
2012-07,34732.38
2012-08,41677.51
2012-09,27282.2
2012-10,32632.75
2012-11,29987.46
2012-12,32955.27
2013-01,50513.18
2013-02,54622.07
2013-03,35993.51
2013-04,49861.85
2013-05,53121.61
2013-06,52498.59
2013-07,45122.8
2013-08,42134.48
2013-09,38547.14
2013-10,27517.16
2013-11,46844.52
2013-12,38856.04
2014-01,38275.7
2014-02,47584.71
2014-03,47584.71
2014-04,48403.79
2014-05,54814.47
2014-06,47905.29
2014-07,48755.34
2014-08,46110.9
2014-09,43642.75
2014-10,36012.56
2014-11,32460.95
2014-12,68427
2015-01,54997.06
2015-02,58106.93
2015-03,55865.17
2015-04,50903.68
2015-05,49260.16
2015-06,49594.54
2015-07,40140.82
2015-08,42825.19
2015-09,49705.24
2015-10,44995.87
2015-11,49305.2
2015-12,53697.56
2016-01,42713.39
2016-02,49205.59
2016-03,51832.57
2016-04,43197.72
2016-05,46704.31
2016-06,49062.98
2016-07,42726.69
2016-08,45315.79
2016-09,46875.67
2016-10,57353.84
2016-11,44723.21
2016-12,52119.89
2017-01,47157.45
2017-02,57651.1
2017-03,65467.86
2017-04,74077.61
2017-05,74400.76
2017-06,63168.32
2017-07,58581.11
2017-08,68100.82
2017-09,73222.96
2017-10,64349.69
2017-11,66098.73
2017-12,73745.69
2018-01,58903.45
2018-02,67870.01
2018-03,72171.47
2018-04,60293.99
2018-05,76611.55
2018-06,69173.22
2018-07,52482
2018-08,60656.84
2018-09,64887.28
2018-10,61677.79
2018-11,55857.62
2018-12,64955.79
2019-01,60199.79
2019-02,68552.6
2019-03,70921.47
2019-04,77455.87
2019-05,73566.13
2019-06,78076.67
2019-07,77250.84
2019-08,77320.35
2019-09,61397.39
2019-10,59355.85
2019-11,59174.8
2019-12,64013.35
