Month,#Passengers
2015-01,89035.02
2015-02,77459.71
2015-03,90451.21
2015-04,88723.11
2015-05,99602.58
2015-06,91504.57
2015-07,97823.98
2015-08,90584.05
2015-09,90325.24
2015-10,90815.18
2015-11,88103.85
2015-12,107115.44
2016-01,98102.65
2016-02,88362.64
2016-03,98909.85
2016-04,90469.74
2016-05,96155.3
2016-06,98752.39
2016-07,96513.95
2016-08,90478.49
2016-09,98844.43
2016-10,115474.64
2016-11,92511.86
2016-12,102191.88
2017-01,95181.67
2017-02,103874.5
2017-03,109068.03
2017-04,91572.56
2017-05,95540.95
2017-06,89104.77
2017-07,83566.77
2017-08,100396.48
2017-09,107596.56
2017-10,79857.35
2017-11,89056.25
2017-12,97113.3
2018-01,85294.69
2018-02,87289.68
2018-03,96415.86
2018-04,85908.8
2018-05,98987.34
2018-06,97117.23
2018-07,92604.34
2018-08,103234
2018-09,102494.9
2018-10,120467.65
2018-11,116364.41
2018-12,113243.69
2019-01,106847.31
2019-02,94528.27
2019-03,104670.79
2019-04,88353.8
2019-05,105480.05
2019-06,95230.11
2019-07,102324.13
2019-08,101855.83
2019-09,91482.29
2019-10,99809.36
2019-11,107985.19
2019-12,108337.97
