Month,#Passengers
2015-01,41470.86
2015-02,44066.98
2015-03,50996.03
2015-04,50364.08
2015-05,58087.73
2015-06,49452.2
2015-07,44508.81
2015-08,49532.06
2015-09,45577.62
2015-10,47351.13
2015-11,44524.72
2015-12,49662.17
2016-01,49066.11
2016-02,52081.36
2016-03,58021.92
2016-04,64254.03
2016-05,62722.48
2016-06,61672.84
2016-07,67259.7
2016-08,54719.8
2016-09,56936.44
2016-10,61232.02
2016-11,55810.09
2016-12,65097.41
2017-01,56450.69
2017-02,60121.24
2017-03,71971.15
2017-04,70968.9
2017-05,75130.51
2017-06,72081.9
2017-07,67486.7
2017-08,66923.67
2017-09,69853.12
2017-10,59548.25
2017-11,66851.53
2017-12,75615.13
2018-01,68446.61
2018-02,69583.87
2018-03,82559.96
2018-04,80056.9
2018-05,87204.39
2018-06,80568.44
2018-07,71146.73
2018-08,94419.81
2018-09,90140.69
2018-10,102811.47
2018-11,110980.56
2018-12,103941.51
2019-01,95779.22
2019-02,91892.86
2019-03,104690.31
2019-04,101500.22
2019-05,107376.51
2019-06,108147.54
2019-07,114110.05
2019-08,121579.61
2019-09,108283.23
2019-10,101106.53
2019-11,100390.61
2019-12,127160.05
