Month,#Passengers
2015-01,480524.6
2015-02,442657.75
2015-03,427432.89
2015-04,363201.75
2015-05,429886.25
2015-06,387988.3
2015-07,347811.89
2015-08,320533.17
2015-09,398799.12
2015-10,281888.29
2015-11,295567.72
2015-12,322361.99
2016-01,333757.41
2016-02,283567.46
2016-03,331263.35
2016-04,331458.85
2016-05,362074.84
2016-06,425392.49
2016-07,358196.96
2016-08,303403.23
2016-09,275193.69
2016-10,222663.45
2016-11,249762.79
2016-12,307193.72
2017-01,371661.15
2017-02,391495.67
2017-03,433153.8
2017-04,385235.08
2017-05,434121.09
2017-06,503538.44
2017-07,417083.6
2017-08,414798.71
2017-09,426495.6
2017-10,371250.83
2017-11,381952
2017-12,424985.7
2018-01,459773.1
2018-02,482443.93
2018-03,552034.28
2018-04,483549.11
2018-05,556477.43
2018-06,508100.49
2018-07,480786
2018-08,395300.47
2018-09,343546.54
2018-10,358966.48
2018-11,323284.13
2018-12,484180.83
2019-01,539334.39
2019-02,539773.33
2019-03,669555.8
2019-04,424230.51
2019-05,464749.09
2019-06,375235.12
2019-07,368937.94
2019-08,307903.43
2019-09,278579.53
2019-10,238331.85
2019-11,334999.31
2019-12,458034.14
