Month,#Passengers
2015-01,7553.73
2015-02,7597.16
2015-03,8356.02
2015-04,9758.97
2015-05,7910.15
2015-06,7612.14
2015-07,8144.69
2015-08,10687.49
2015-09,12027.54
2015-10,13769.56
2015-11,10805.91
2015-12,12071.94
2016-01,12089.65
2016-02,7714.48
2016-03,14168.15
2016-04,11959.06
2016-05,9866.22
2016-06,8288.35
2016-07,6994.95
2016-08,11932.72
2016-09,10905.7
2016-10,8350.17
2016-11,8234.38
2016-12,9288.46
2017-01,6568.47
2017-02,6897.18
2017-03,9391.62
2017-04,9178.02
2017-05,6731.26
2017-06,9206.75
2017-07,7741.19
2017-08,9401.57
2017-09,9400.25
2017-10,9896.37
2017-11,8815.15
2017-12,11902.07
2018-01,8387.38
2018-02,9143.31
2018-03,14631.23
2018-04,11806.12
2018-05,8357.63
2018-06,8706.52
2018-07,8983.34
2018-08,11876.73
2018-09,13483.78
2018-10,15056.99
2018-11,11378.89
2018-12,11271.65
2019-01,12854.7
2019-02,11636.59
2019-03,9673.21
2019-04,9085.86
2019-05,11935.45
2019-06,10698.23
2019-07,11187.12
2019-08,10744.66
2019-09,11670.29
2019-10,12267.11
2019-11,12863.55
2019-12,8944.87
