Month,#Passengers
2015-01,419942.32
2015-02,415477.07
2015-03,441277.23
2015-04,346134.99
2015-05,326288.9
2015-06,324791.03
2015-07,361620.23
2015-08,356879.88
2015-09,370039.24
2015-10,370664.79
2015-11,480258.34
2015-12,590525.25
2016-01,455435.7
2016-02,414367.73
2016-03,401346.1
2016-04,335079.32
2016-05,317811.24
2016-06,302854.17
2016-07,261709.07
2016-08,255020.81
2016-09,271438.54
2016-10,273203.6
2016-11,398441.24
2016-12,553446.74
2017-01,570446.74
2017-02,458058.3
2017-03,441666.28
2017-04,328950.31
2017-05,319452.55
2017-06,311447.1
2017-07,267677.69
2017-08,278502.56
2017-09,318066.38
2017-10,307634.27
2017-11,422985.8
2017-12,517645.04
2018-01,457025.88
2018-02,461085.86
2018-03,550677.29
2018-04,495927.39
2018-05,464068.01
2018-06,470292.78
2018-07,461371.09
2018-08,429733.19
2018-09,373012.13
2018-10,403125.97
2018-11,464679.48
2018-12,512068.51
2019-01,463795.78
2019-02,439293.81
2019-03,524702.02
2019-04,339766.43
2019-05,317528.29
2019-06,255548.5
2019-07,260251.09
2019-08,277464.58
2019-09,274468.7
2019-10,302624.8
2019-11,348528.27
2019-12,422369.88
