Month,#Passengers
2015-01,15078.24
2015-02,20847.6
2015-03,27494.14
2015-04,19137.76
2015-05,20429.13
2015-06,19368.35
2015-07,20490.42
2015-08,16799.17
2015-09,18762.11
2015-10,16277.09
2015-11,14393.05
2015-12,16488.4
2016-01,17011.41
2016-02,15205.61
2016-03,20218.77
2016-04,15499.76
2016-05,18614.51
2016-06,16004.26
2016-07,12843.25
2016-08,12983.83
2016-09,13848.17
2016-10,14976.77
2016-11,14828.78
2016-12,17067.95
2017-01,17521.17
2017-02,18039.31
2017-03,24124.9
2017-04,18470.25
2017-05,15984.85
2017-06,15232.07
2017-07,17328.51
2017-08,17499.92
2017-09,20696.02
2017-10,17586.27
2017-11,20690.98
2017-12,21126.56
2018-01,20233.81
2018-02,20089.68
2018-03,31437.22
2018-04,26334.69
2018-05,25349.86
2018-06,23119.36
2018-07,17186.47
2018-08,21941.26
2018-09,31604.84
2018-10,28270.85
2018-11,33344.7
2018-12,50742.04
2019-01,29369.33
2019-02,31859.37
2019-03,58201.23
2019-04,33514.39
2019-05,25162.4
2019-06,18214.18
2019-07,17180.84
2019-08,19378.74
2019-09,18378.47
2019-10,19894.26
2019-11,19744.03
2019-12,22953.16
