Month,#Passengers
2015-01,128107.17
2015-02,152226.17
2015-03,195630.04
2015-04,174864.87
2015-05,173249.74
2015-06,151993.16
2015-07,164720.24
2015-08,163608.82
2015-09,154782.2
2015-10,147796.39
2015-11,134066.5
2015-12,158659.73
2016-01,149339.05
2016-02,154653.78
2016-03,204921.1
2016-04,183227.89
2016-05,188089.45
2016-06,177211.12
2016-07,169595.12
2016-08,173063.7
2016-09,171942.49
2016-10,163807.3
2016-11,147503.19
2016-12,174201.63
2017-01,157867.63
2017-02,183970.29
2017-03,243964.89
2017-04,194517.72
2017-05,177780.06
2017-06,169553.02
2017-07,147078.71
2017-08,184748.49
2017-09,193449.81
2017-10,157168.71
2017-11,178253.51
2017-12,181091.4
2018-01,139769.34
2018-02,172243.24
2018-03,238724.03
2018-04,191129.64
2018-05,196082.03
2018-06,185637.84
2018-07,177013.61
2018-08,161841.63
2018-09,171806.81
2018-10,189023.62
2018-11,183752.15
2018-12,173273.36
2019-01,150687.22
2019-02,198178.06
2019-03,255174.12
2019-04,194865.4
2019-05,209504.19
2019-06,192925.89
2019-07,232099.12
2019-08,200931.04
2019-09,187884.81
2019-10,168661.5
2019-11,159314.38
2019-12,183518.28
