Month,#Passengers
2015-01,77211.96
2015-02,69314.39
2015-03,76971.76
2015-04,45461.52
2015-05,61130.32
2015-06,59577.46
2015-07,65814.9
2015-08,75214.86
2015-09,66769.52
2015-10,69658.07
2015-11,61021.92
2015-12,80668.56
2016-01,54147.97
2016-02,66331.58
2016-03,85543.38
2016-04,60219.83
2016-05,66889.22
2016-06,70248.82
2016-07,67915.57
2016-08,67968.26
2016-09,71441.59
2016-10,66364.94
2016-11,70082.21
2016-12,89749.4
2017-01,70599.12
2017-02,85600.67
2017-03,126708.97
2017-04,83380.24
2017-05,76208.46
2017-06,67659.87
2017-07,84519.1
2017-08,77692.48
2017-09,96809.84
2017-10,77750.45
2017-11,105407.01
2017-12,105257.77
2018-01,108914.92
2018-02,102270.2
2018-03,131598.75
2018-04,101733.74
2018-05,114498.9
2018-06,131439.82
2018-07,103063.61
2018-08,127924.88
2018-09,119297.77
2018-10,122500.34
2018-11,101492.62
2018-12,125363.5
2019-01,110361.82
2019-02,102338.66
2019-03,145610.65
2019-04,84858.39
2019-05,105522.64
2019-06,103164.21
2019-07,103654.67
2019-08,102864.08
2019-09,104558.03
2019-10,97920.4
2019-11,110585.24
2019-12,110189.38
