Month,#Passengers
2015-01,12803.26
2015-02,12273.42
2015-03,13127.49
2015-04,12699.41
2015-05,13272.45
2015-06,11262.32
2015-07,12120.48
2015-08,11881.46
2015-09,13523.1
2015-10,15173.26
2015-11,11710.89
2015-12,14493.44
2016-01,13634.69
2016-02,13692.96
2016-03,14957.15
2016-04,13922.53
2016-05,13835.2
2016-06,14615.79
2016-07,14310.88
2016-08,13925.28
2016-09,16389.77
2016-10,17069.66
2016-11,16978.5
2016-12,16552.93
2017-01,17820.11
2017-02,16777.27
2017-03,18630.16
2017-04,15859.01
2017-05,14568.08
2017-06,17130.07
2017-07,17009.57
2017-08,16614.2
2017-09,18700.55
2017-10,17543.78
2017-11,18350.16
2017-12,19369.78
2018-01,19099.21
2018-02,20339.19
2018-03,26501.44
2018-04,22661.54
2018-05,24321.77
2018-06,23999.5
2018-07,19330.67
2018-08,25058.17
2018-09,25997.67
2018-10,26843
2018-11,25732.92
2018-12,27918.02
2019-01,27153.15
2019-02,27141.16
2019-03,31867.11
2019-04,23167.91
2019-05,24798.22
2019-06,23626.59
2019-07,24129.93
2019-08,26453.13
2019-09,24785.59
2019-10,26259.78
2019-11,26010.18
2019-12,26567.1
