Month,#Passengers
2015-01,13750.15
2015-02,14186.65
2015-03,14093.35
2015-04,15703.92
2015-05,18959.88
2015-06,19301.62
2015-07,19798.89
2015-08,16179.82
2015-09,15913.31
2015-10,17068.89
2015-11,13857.18
2015-12,15661.16
2016-01,14009.33
2016-02,14857.55
2016-03,14197.44
2016-04,13935.16
2016-05,13338.19
2016-06,12384.38
2016-07,11763.29
2016-08,15027.13
2016-09,11785.73
2016-10,11194.3
2016-11,9817.66
2016-12,12305.71
2017-01,10607.98
2017-02,10994.35
2017-03,12962.29
2017-04,12237.28
2017-05,12649.03
2017-06,12215.76
2017-07,11634.53
2017-08,12904.73
2017-09,14726.58
2017-10,11008.06
2017-11,13644.08
2017-12,14122.58
2018-01,12503.83
2018-02,14572.29
2018-03,17252.12
2018-04,17873.36
2018-05,17454.14
2018-06,17968.3
2018-07,14160.02
2018-08,19870.97
2018-09,22249.63
2018-10,22262.21
2018-11,20802.96
2018-12,18509.35
2019-01,18492.41
2019-02,15899.31
2019-03,19397.27
2019-04,22047.29
2019-05,23438.09
2019-06,21403.17
2019-07,21569.72
2019-08,20512.14
2019-09,20512.04
2019-10,18222.58
2019-11,17378.79
2019-12,19222.28
