Month,#Passengers
2015-01,121736.06
2015-02,98849.85
2015-03,108916.11
2015-04,93279.33
2015-05,90040.54
2015-06,86457.76
2015-07,78920.07
2015-08,86865.51
2015-09,62597.4
2015-10,69158.76
2015-11,91643.06
2015-12,131669.94
2016-01,103210.28
2016-02,95862.38
2016-03,107072.68
2016-04,98756.75
2016-05,99368.62
2016-06,106565.84
2016-07,93111.61
2016-08,63102.17
2016-09,52255.17
2016-10,74844.75
2016-11,104337.67
2016-12,159962.56
2017-01,129074.07
2017-02,115531.17
2017-03,117679.03
2017-04,91068.88
2017-05,74581.21
2017-06,75807.66
2017-07,83772.94
2017-08,75284.89
2017-09,68509.82
2017-10,77298.8
2017-11,137017.33
2017-12,114589.2
2018-01,78649.31
2018-02,80285.51
2018-03,105272.88
2018-04,87756.09
2018-05,95258.97
2018-06,104798.18
2018-07,95769.89
2018-08,98680.59
2018-09,78238.69
2018-10,84581.58
2018-11,103691.86
2018-12,100099.72
2019-01,89037.48
2019-02,88694.73
2019-03,118383.38
2019-04,92293.42
2019-05,104961.44
2019-06,83931.35
2019-07,91228.37
2019-08,72371.89
2019-09,60080.25
2019-10,71015.93
2019-11,149386.62
2019-12,180343.86
