Month,#Passengers
2015-01,38748.88
2015-02,33938.57
2015-03,57614.57
2015-04,17579.84
2015-05,43263.73
2015-06,38974.33
2015-07,31836.24
2015-08,30500.73
2015-09,35392.12
2015-10,42403.9
2015-11,39291.23
2015-12,52242.25
2016-01,30801.22
2016-02,38239.94
2016-03,51857.34
2016-04,52444.08
2016-05,78751.92
2016-06,63900.51
2016-07,62166.12
2016-08,74771.84
2016-09,80420.16
2016-10,88215.09
2016-11,121465.12
2016-12,151301.13
2017-01,134595.01
2017-02,159766.72
2017-03,203968.14
2017-04,142470.05
2017-05,92012.81
2017-06,50633.81
2017-07,80802.76
2017-08,94944.68
2017-09,69909.03
2017-10,93828
2017-11,112708.81
2017-12,108510.74
2018-01,81859.03
2018-02,98770.76
2018-03,132207.19
2018-04,88387.36
2018-05,75404.05
2018-06,89167.07
2018-07,63406.51
2018-08,55879.57
2018-09,115904.62
2018-10,119849.48
2018-11,125356.45
2018-12,125454.63
2019-01,119171.62
2019-02,143809.95
2019-03,169153.58
2019-04,166316.39
2019-05,177330.67
2019-06,170875.87
2019-07,234742.24
2019-08,266238.22
2019-09,185645.37
2019-10,165351.21
2019-11,151834.95
2019-12,173960.75
