Month,#Passengers
2008-02,17452.1
2008-01,15302.4
2008-03,19119.56
2008-04,18059.72
2008-05,24062.89
2008-06,22943.22
2008-07,23123.58
2008-08,23368.95
2008-09,25685.46
2008-10,22769.85
2008-11,18985.59
2008-12,18174.09
2009-01,14113.1
2009-02,16153.12
2009-03,18659.15
2009-04,17107.65
2009-05,19325.63
2009-06,23021.8
2009-07,26410.79
2009-08,24077.42
2009-09,26107.2
2009-10,21789.86
2009-11,25207.35
2009-12,19238.02
2010-01,22355.61
2010-02,27383.86
2010-03,25264.33
2010-04,28294.35
2010-05,32590.35
2010-06,33861.3
2010-07,33455.96
2010-08,34251.48
2010-09,31420.25
2010-10,33520.84
2010-11,34007.75
2010-12,29942
2011-01,29692.4
2011-02,35116.91
2011-03,30550.59
2011-04,33242.88
2011-05,36941.39
2011-06,40106.08
2011-07,38128.27
2011-08,40787.82
2011-09,33225.7
2011-10,38532.42
2011-11,37531.52
2011-12,33645.47
2012-01,33906.51
2012-02,36835.49
2012-03,37843.33
2012-04,44882.32
2012-05,49208.13
2012-06,52133.57
2012-07,45865.51
2012-08,46309.72
2012-09,41469.74
2012-10,38373.21
2012-11,37664.16
2012-12,41719.13
2013-01,42893.48
2013-02,49831.97
2013-03,45745.19
2013-04,46095.92
2013-05,58248.77
2013-06,54593.27
2013-07,54510.71
2013-08,59010.19
2013-09,54486.57
2013-10,48456.78
2013-11,57791.39
2013-12,49005.5
2014-01,47115.67
2014-02,58003.74
2014-03,58003.74_1
2014-04,52626.82
2014-05,60609.1
2014-06,57371.58
2014-07,62068.37
2014-08,62834.25
2014-09,59378.35
2014-10,59199.67
2014-11,57696.21
2014-12,57720.6
2015-01,57278.52
2015-02,53814.4
2015-03,63098.6
2015-04,57822.05
2015-05,65333.37
2015-06,62662.52
2015-07,70520.46
2015-08,60843.04
2015-09,64232.51
2015-10,60173.33
2015-11,50930.15
2015-12,64072.4
2016-01,63064.11
2016-02,60848.42
2016-03,68889.99
2016-04,64345.89
2016-05,82807.84
2016-06,72162.66
2016-07,73545.36
2016-08,65632
2016-09,66355.16
2016-10,63118.26
2016-11,56527.66
2016-12,63989.91
2017-01,56071.13
2017-02,54982.6
2017-03,66043.53
2017-04,61683.81
2017-05,64454.84
2017-06,69883.97
2017-07,71790.77
2017-08,69644.21
2017-09,74557.5
2017-10,77054.57
2017-11,87827.63
2017-12,87023.28
2018-01,78601.27
2018-02,80278.27
2018-03,99222.34
2018-04,91602.69
2018-05,110818.66
2018-06,117830.73
2018-07,109019.21
2018-08,128215.84
2018-09,117380.06
2018-10,109740.45
2018-11,100797.15
2018-12,107825.04
2019-01,139281.41
2019-02,118740.87
2019-03,140265.4
2019-04,125166.24
2019-05,132537.02
2019-06,115171.48
2019-07,117564.45
2019-08,115859.24
2019-09,105962.74
2019-10,117066.53
2019-11,112409.96
2019-12,113467.07
