Month,#Passengers
2008-01,156766.34
2008-02,131657.45
2008-03,179402.91
2008-04,156116.3
2008-05,174662.75
2008-06,196019.62
2008-07,193513.11
2008-08,161959.56
2008-09,180107.61
2008-10,178954.21
2008-11,187346.08
2008-12,334903.91
2009-01,183681.76
2009-02,187174.45
2009-03,203494.08
2009-04,188369.99
2009-05,169440.86
2009-06,197151.78
2009-07,189024.23
2009-08,198858.99
2009-09,216465.77
2009-10,193896.44
2009-11,225609.65
2009-12,208598.93
2010-01,211557.05
2010-02,246983.44
2010-03,218450.47
2010-04,219869.28
2010-05,235885.08
2010-06,232890.62
2010-07,228634.73
2010-08,228695.88
2010-09,251577.93
2010-10,229836.03
2010-11,290379.49
2010-12,251874.5
2011-01,267846.03
2011-02,382380.23
2011-03,235509.46
2011-04,273291.49
2011-05,330327.56
2011-06,314609.12
2011-07,297551.02
2011-08,374038.42
2011-09,340129.42
2011-10,363052.18
2011-11,420157.61
2011-12,355389.76
2012-01,372238.47
2012-02,405391.27
2012-03,384585.79
2012-04,400955.22
2012-05,450195.21
2012-06,439813.15
2012-07,468231.21
2012-08,471310.67
2012-09,425626.44
2012-10,453910.3
2012-11,517243.79
2012-12,465179.89
2013-01,442295.25
2013-02,558019.85
2013-03,499306.29
2013-04,500244.01
2013-05,526538.01
2013-06,533538.31
2013-07,558802.88
2013-08,576318.72
2013-09,604019.86
2013-10,523330.68
2013-11,597886.27
2013-12,587325.51
2014-01,552885.12
2014-02,680175.47
2014-03,680175.47
2014-04,593824.21
2014-05,605696.06
2014-06,578556.02
2014-07,607928.15
2014-08,582592.62
2014-09,588786.39
2014-10,560906.82
2014-11,561907.48
2014-12,624546
2015-01,580664.09
2015-02,541110.32
2015-03,654992.15
2015-04,647702.13
2015-05,741701.69
2015-06,704742.61
2015-07,715277.18
2015-08,674462.52
2015-09,684078.75
2015-10,748772.58
2015-11,617255.91
2015-12,737125.46
2016-01,735734.61
2016-02,661770.29
2016-03,779482.59
2016-04,720440.16
2016-05,679988.96
2016-06,727800.23
2016-07,762536.61
2016-08,711754.61
2016-09,727571.53
2016-10,766292.17
2016-11,684299.98
2016-12,822724.45
2017-01,659577.68
2017-02,602095.1
2017-03,805467.38
2017-04,630981.29
2017-05,582302.43
2017-06,682798.32
2017-07,699996.7
2017-08,724360.47
2017-09,793029.51
2017-10,669574
2017-11,713150.37
2017-12,830934.54
2018-01,662994.34
2018-02,683225.99
2018-03,871381.5
2018-04,704265.24
2018-05,777484.69
2018-06,834319.36
2018-07,759200.36
2018-08,916431.36
2018-09,941810.9
2018-10,871104.16
2018-11,829143.43
2018-12,903770.55
2019-01,857754.62
2019-02,885992.56
2019-03,1042715.39
2019-04,830677.07
2019-05,896670.1
2019-06,1005757.39
2019-07,927971.83
2019-08,943416.35
2019-09,1013879.23
2019-10,954177.92
2019-11,1021613.49
2019-12,1059800.06
