Month,#Passengers
2008-01,51458.36
2008-02,59951.24
2008-03,61430.58
2008-04,51345.76
2008-05,54793.4
2008-06,66512.27
2008-07,81497.35
2008-08,66034.35
2008-09,65329.27
2008-10,63521.42
2008-11,61152.97
2008-12,57505.16
2009-01,44344.9
2009-02,44985.42
2009-03,46971.78
2009-04,38263.08
2009-05,37035.35
2009-06,49130.81
2009-07,48340.83
2009-08,48364.35
2009-09,55526.01
2009-10,54601.31
2009-11,59957.94
2009-12,55219.12
2010-01,60600.44
2010-02,75078.95
2010-03,66121.94
2010-04,57596.36
2010-05,58637.8
2010-06,60869.54
2010-07,55991.8
2010-08,63435.93
2010-09,63748.99
2010-10,67046.33
2010-11,79777.65
2010-12,88994.1
2011-01,96390.85
2011-02,100608.86
2011-03,75982.58
2011-04,94342.3
2011-05,95846.14
2011-06,92701.51
2011-07,99285.46
2011-08,111466.72
2011-09,105834.14
2011-10,105784.88
2011-11,137926.39
2011-12,115283.6
2012-01,113911.42
2012-02,123790.99
2012-03,108539.18
2012-04,139111.21
2012-05,126225.09
2012-06,129776.21
2012-07,131399.25
2012-08,132031.36
2012-09,111665.19
2012-10,112407.32
2012-11,124551.54
2012-12,122896.4
2013-01,117904.54
2013-02,153539.26
2013-03,111257.64
2013-04,122824.45
2013-05,123974.3
2013-06,136211.84
2013-07,139398.39
2013-08,137321.29
2013-09,140088.06
2013-10,142744.77
2013-11,150253.19
2013-12,141003.02
2014-01,127398.84
2014-02,149720.18
2014-03,149720.18
2014-04,133221.03
2014-05,139131.29
2014-06,131307.48
2014-07,181151.74
2014-08,134883.67
2014-09,137268.7
2014-10,130145.31
2014-11,138769.95
2014-12,146389.24
2015-01,128570.22
2015-02,121764.36
2015-03,143151.75
2015-04,127750.88
2015-05,124821.62
2015-06,127452.48
2015-07,138214.49
2015-08,123154.52
2015-09,120738.32
2015-10,127726.11
2015-11,105140.58
2015-12,136329.77
2016-01,134935.49
2016-02,133151.29
2016-03,151483.39
2016-04,126559.16
2016-05,128935.81
2016-06,130372.25
2016-07,140893.51
2016-08,131390.2
2016-09,132226.48
2016-10,137370.18
2016-11,125711.26
2016-12,155659.08
2017-01,141162.61
2017-02,148985.45
2017-03,172551.79
2017-04,137722.67
2017-05,139968.46
2017-06,149945.37
2017-07,153659.15
2017-08,155016.1
2017-09,166348.11
2017-10,146468.04
2017-11,167669.01
2017-12,180028.53
2018-01,157875.07
2018-02,162463.9
2018-03,191958.77
2018-04,167209.54
2018-05,171163.88
2018-06,179550.86
2018-07,178119.49
2018-08,203730.84
2018-09,191572.36
2018-10,188099.75
2018-11,172375.67
2018-12,200968.5
2019-01,185264.43
2019-02,182418.12
2019-03,221401.66
2019-04,177400.4
2019-05,188171.74
2019-06,181055.86
2019-07,180339.94
2019-08,188226.45
2019-09,185186.4
2019-10,187977.31
2019-11,186742.14
2019-12,208659.58
