Month,#Passengers
2008-01,38735.75
2008-02,46376.24
2008-03,41917.28
2008-04,39359.12
2008-05,49234.67
2008-06,56612.57
2008-07,55047
2008-08,58259.68
2008-09,54861.38
2008-10,50575.7
2008-11,48823.33
2008-12,40979.52
2009-01,39133.17
2009-02,41713.53
2009-03,41893.45
2009-04,43148.63
2009-05,45744.67
2009-06,53369.98
2009-07,40518.17
2009-08,34229.96
2009-09,43088.23
2009-10,49505.32
2009-11,44957.24
2009-12,42035.88
2010-01,42065.64
2010-02,44671.54
2010-03,46168.17
2010-04,43129.59
2010-05,49622.03
2010-06,43852.02
2010-07,39346.04
2010-08,32828.68
2010-09,36493.74
2010-10,48676.96
2010-11,46851.42
2010-12,53770.01
2011-01,49091.85
2011-02,89039.21
2011-03,63978.43
2011-04,62948.1
2011-05,65495.2
2011-06,60025.21
2011-07,50294.7
2011-08,48586.13
2011-09,50271.61
2011-10,64303.26
2011-11,88629.92
2011-12,71900.29
2012-01,64417.6
2012-02,75268.97
2012-03,71799.68
2012-04,75758.4
2012-05,116074.1
2012-06,86473.73
2012-07,79238.41
2012-08,74111.95
2012-09,73774.81
2012-10,72456.86
2012-11,80738.61
2012-12,85250.13
2013-01,83766.5
2013-02,97435.27
2013-03,85217.07
2013-04,92366.22
2013-05,93928.31
2013-06,103984.97
2013-07,96631.38
2013-08,94461.44
2013-09,92368.44
2013-10,89948.17
2013-11,100443.45
2013-12,115943.3
2014-01,96187.99
2014-02,123976.68
2014-03,123976.68
2014-04,113601.1
2014-05,108294.06
2014-06,95590.24
2014-07,109078.16
2014-08,101766.58
2014-09,92974.96
2014-10,82635.48
2014-11,84884.56
2014-12,104283.49
2015-01,106501.58
2015-02,93895.13
2015-03,105772.87
2015-04,102000
2015-05,104928.99
2015-06,101253.02
2015-07,101996.87
2015-08,92064.24
2015-09,92043.51
2015-10,84714.08
2015-11,81759.07
2015-12,108500.71
2016-01,110430.08
2016-02,119874.84
2016-03,113466.39
2016-04,103386.24
2016-05,114843.81
2016-06,105674.27
2016-07,104487.54
2016-08,101846.77
2016-09,99013.12
2016-10,97068.14
2016-11,102786.91
2016-12,117120.16
2017-01,112469.1
2017-02,111905.93
2017-03,121453.44
2017-04,118403.75
2017-05,111036.35
2017-06,110953.15
2017-07,102719.01
2017-08,116488.42
2017-09,115818.3
2017-10,98890.85
2017-11,117988.95
2017-12,127254.47
2018-01,127873.76
2018-02,131623.07
2018-03,152274.33
2018-04,133589.61
2018-05,140032.98
2018-06,131554.72
2018-07,128348.17
2018-08,135409.5
2018-09,126278.74
2018-10,130685.53
2018-11,131959.29
2018-12,126264.32
2019-01,123953.07
2019-02,119021.08
2019-03,132251.17
2019-04,103495.68
2019-05,127924.7
2019-06,114425.95
2019-07,118598.68
2019-08,111333.75
2019-09,113251.43
2019-10,111521.21
2019-11,125457.17
2019-12,114081.43
