Month,#Passengers
008-01,12183.9
2008-02,9662.48
2008-03,15616.16
2008-04,10523.25
2008-05,14728.95
2008-06,13204.63
2008-07,13218.66
2008-08,13848.41
2008-09,14399.41
2008-10,12735.18
2008-11,11426.69
2008-12,13326.36
2009-01,11521.85
2009-02,10689.62
2009-03,12582.1
2009-04,9918.12
2009-05,10046.58
2009-06,10597.82
2009-07,10513.27
2009-08,10919.66
2009-09,11950.89
2009-10,10606.41
2009-11,10352.5
2009-12,12841.11
2010-01,11435.24
2010-02,11262.95
2010-03,8342.51
2010-04,9141.54
2010-05,12146.24
2010-06,12333.11
2010-07,11347.52
2010-08,16258.03
2010-09,12647.6
2010-10,17484.22
2010-11,18737.23
2010-12,19363.74
2011-01,18334.18
2011-02,9979.45
2011-03,6727.04
2011-04,8208.21
2011-05,8091.09
2011-06,8365.29
2011-07,7981.17
2011-08,8696.16
2011-09,7734.98
2011-10,7995.56
2011-11,9628.67
2011-12,8239
2012-01,7025.42
2012-02,6776.16
2012-03,6561.47
2012-04,7565.25
2012-05,8965.63
2012-06,7933.12
2012-07,7168.49
2012-08,7145.36
2012-09,6684.18
2012-10,6549.3
2012-11,7015.82
2012-12,6834.34
2013-01,6279.49
2013-02,6821.85
2013-03,5819.2
2013-04,6389.8
2013-05,7467.78
2013-06,7932.53
2013-07,7599.72
2013-08,8564.85
2013-09,8737.39
2013-10,7809.48
2013-11,8253.98
2013-12,6724.54
2014-01,6957.78
2014-02,8284.45
2014-03,8284.45
2014-04,6061.79
2014-05,6863.07
2014-06,7846.73
2014-07,8706.07
2014-08,7589.45
2014-09,7207.18
2014-10,6353.11
2014-11,7460.7
2014-12,6117.93
2015-01,6632.21
2015-02,5626.5
2015-03,6321.85
2015-04,6217.84
2015-05,5778.68
2015-06,6826.45
2015-07,6217.83
2015-08,5672.73
2015-09,6120.61
2015-10,5931.69
2015-11,4638.93
2015-12,5260.1
2016-01,5749.33
2016-02,4647.96
2016-03,5171.09
2016-04,5122.68
2016-05,6153.2
2016-06,5342.69
2016-07,4988.28
2016-08,4833.28
2016-09,4630.8
2016-10,5756.36
2016-11,4014.8
2016-12,4496.1
2017-01,4430.5
2017-02,3881.6
2017-03,4479.38
2017-04,3971.51
2017-05,4893.45
2017-06,3655.76
2017-07,3471.22
2017-08,4044.67
2017-09,5359.7
2017-10,3506.23
2017-11,3973.07
2017-12,4221.65
2018-01,3938.82
2018-02,3831.82
2018-03,4781.21
2018-04,4154.17
2018-05,4554.16
2018-06,5292.86
2018-07,4010.72
2018-08,4722.01
2018-09,6058.29
2018-10,5808.93
2018-11,5092.12
2018-12,4403.59
2019-01,5166.46
2019-02,4584.29
2019-03,5308.5
2019-04,4360.64
2019-05,4582.35
2019-06,3805.36
2019-07,4051.43
2019-08,4814.01
2019-09,5243.43
2019-10,5136.7
2019-11,6170.77
2019-12,6126.85
