Month,#Passengers
2008-01,5498.48
2008-02,6658.02
2008-03,8276.84
2008-04,7416.31
2008-05,9079.44
2008-06,8879.47
2008-07,10505.59
2008-08,10632.69
2008-09,10095.25
2008-10,9349.89
2008-11,8752.52
2008-12,28451.1
2009-01,8380.47
2009-02,7683.69
2009-03,8863.2
2009-04,8777.76
2009-05,8243.75
2009-06,10439.2
2009-07,9685.9
2009-08,11065.83
2009-09,9035.5
2009-10,9628.45
2009-11,10943.24
2009-12,10662.15
2010-01,10608.53
2010-02,14178.81
2010-03,11755.94
2010-04,11215.31
2010-05,12254
2010-06,14516.93
2010-07,10101.22
2010-08,12935.89
2010-09,12506.4
2010-10,11379.09
2010-11,14906.02
2010-12,14415.39
2011-01,13230.81
2011-02,16907.71
2011-03,11906.7
2011-04,19422.75
2011-05,18792.41
2011-06,18216.66
2011-07,17645.89
2011-08,19120.14
2011-09,18855.92
2011-10,20034.1
2011-11,22096.76
2011-12,18003.65
2012-01,20326.31
2012-02,23179.93
2012-03,22332.6
2012-04,23366.02
2012-05,22039.47
2012-06,20935.5
2012-07,21194.19
2012-08,23505.66
2012-09,21596.72
2012-10,20559.67
2012-11,23006.31
2012-12,22089.79
2013-01,20299.25
2013-02,26665.76
2013-03,22266.8
2013-04,24142.36
2013-05,23654.09
2013-06,24252.09
2013-07,26430.08
2013-08,26046.44
2013-09,23631.26
2013-10,21907.39
2013-11,28570.3
2013-12,27025.19
2014-01,28918.85
2014-02,37538.52
2014-03,37538.52
2014-04,24462.64
2014-05,28325.65
2014-06,27535.92
2014-07,28776.51
2014-08,26893.67
2014-09,25798.54
2014-10,24020.79
2014-11,28266.89
2014-12,27947.81
2015-01,25041.2
2015-02,25334.55
2015-03,26427.17
2015-04,25192.84
2015-05,26507.04
2015-06,24671.51
2015-07,29979.46
2015-08,26310.97
2015-09,26190.42
2015-10,24946.96
2015-11,22299.68
2015-12,27165.41
2016-01,25617.06
2016-02,26419.97
2016-03,31035.24
2016-04,26252.34
2016-05,27486.7
2016-06,30702.24
2016-07,30242.52
2016-08,29955.15
2016-09,27081.9
2016-10,29665.42
2016-11,28927.31
2016-12,31788.31
2017-01,27137.59
2017-02,25560.02
2017-03,32788.12
2017-04,30885.61
2017-05,30515.3
2017-06,31210.06
2017-07,30471.5
2017-08,31307.15
2017-09,34480.13
2017-10,28446.61
2017-11,32734.88
2017-12,33414.2
2018-01,27242.74
2018-02,29164.39
2018-03,38096.93
2018-04,33303.15
2018-05,34273.65
2018-06,34724.28
2018-07,30045.42
2018-08,37230.44
2018-09,37116.91
2018-10,35988.72
2018-11,34269.65
2018-12,38974.85
2019-01,36232.91
2019-02,36563.84
2019-03,44244.65
2019-04,34734.51
2019-05,39117.8
2019-06,38427.45
2019-07,36649
2019-08,37420.01
2019-09,36349.36
2019-10,35354.01
2019-11,36062.39
2019-12,39872.02
