Month,#Passengers
2008-01,61987.02
2008-02,58166.96
2008-03,85317.22
2008-04,84990.48
2008-05,84876.76
2008-06,79336.05
2008-07,74204.62
2008-08,54483.45
2008-09,50905.82
2008-10,11634.26
2008-11,7433.78
2008-12,17453.06
2009-01,5475.21
2009-02,4631.47
2009-03,5894.16
2009-04,4603.94
2009-05,3179
2009-06,3749.28
2009-07,2904.67
2009-08,2937.74
2009-09,3353.9
2009-10,7626.13
2009-11,4593.82
2009-12,4481.18
2010-01,3984.36
2010-02,4019.84
2010-03,4267.11
2010-04,4237.28
2010-05,5301.47
2010-06,7884.61
2010-07,24910.66
2010-08,38647.14
2010-09,91046.25
2010-10,59967.98
2010-11,60924.72
2010-12,68991.65
2011-01,118169.29
2011-02,124969.91
2011-03,61445.33
2011-04,68553.05
2011-05,97911.42
2011-06,62918.5
2011-07,80022.32
2011-08,120308.32
2011-09,69665.15
2011-10,47237.22
2011-11,46789.49
2011-12,74526.15
2012-01,104314.77
2012-02,124597.16
2012-03,147499.93
2012-04,171809.63
2012-05,134672.22
2012-06,161271.24
2012-07,81579.05
2012-08,62181.88
2012-09,26092.01
2012-10,23364.77
2012-11,47699.31
2012-12,30122.65
2013-01,40781.28
2013-02,26071.21
2013-03,39591.79
2013-04,44421.44
2013-05,40106.94
2013-06,54657.72
2013-07,52397.19
2013-08,38363.05
2013-09,52106.13
2013-10,61674.87
2013-11,108665.34
2013-12,96813.82
2014-01,129961.69
2014-02,106694.26
2014-03,106694.26
2014-04,81703.34
2014-05,63062.71
2014-06,46567.99
2014-07,44725.24
2014-08,42297.76
2014-09,48136.5
2014-10,35601.43
2014-11,44647.93
2014-12,52701.18
2015-01,57011.34
2015-02,63444.83
2015-03,77572.35
2015-04,86446.55
2015-05,65375.42
2015-06,78542.52
2015-07,75538.93
2015-08,60174.45
2015-09,68813.66
2015-10,70617.68
2015-11,82941.8
2015-12,155052.04
2016-01,147168.58
2016-02,126580.16
2016-03,143528.48
2016-04,104865.76
2016-05,102116.22
2016-06,69510.37
2016-07,81386.57
2016-08,94369.81
2016-09,65109.32
2016-10,67544.95
2016-11,74496.85
2016-12,106827.86
2017-01,87300.71
2017-02,79022.86
2017-03,79367.01
2017-04,68092.9
2017-05,67597.53
2017-06,59938.53
2017-07,59807.95
2017-08,54173.05
2017-09,61554.93
2017-10,62689.24
2017-11,37922
2017-12,60152.64
2018-01,42606.78
2018-02,49621.96
2018-03,32366.94
2018-04,53844.33
2018-05,59011.26
2018-06,94728.78
2018-07,77021.53
2018-08,70748.48
2018-09,63607.98
2018-10,63328.17
2018-11,81738.35
2018-12,131323.64
2019-01,120387.19
2019-02,138330.38
2019-03,186400.54
2019-04,143319.45
2019-05,147597.67
2019-06,96574.16
2019-07,89455.36
2019-08,79952.77
2019-09,83210.06
2019-10,71987.02
2019-11,95488.77
2019-12,133696.69
