Month,#Passengers
2008-01,5911.87
2008-02,6392.87
2008-03,6514.33
2008-04,6015.94
2008-05,7905.27
2008-06,8074.6
2008-07,8269.3
2008-08,7315.7
2008-09,7139.33
2008-10,7024.93
2008-11,6695.53
2008-12,6101.01
2009-01,5211.29
2009-02,5060.04
2009-03,5180.11
2009-04,5160.2
2009-05,5302.32
2009-06,6712.96
2009-07,6346.47
2009-08,5214.14
2009-09,6180.94
2009-10,5330.31
2009-11,6118.75
2009-12,5329.34
2010-01,5561.35
2010-02,6244.09
2010-03,7061.07
2010-04,6543.1
2010-05,6294.38
2010-06,7220.39
2010-07,6449.43
2010-08,6275.9
2010-09,6342.72
2010-10,5274.99
2010-11,6739.88
2010-12,7280.34
2011-01,6360.24
2011-02,7597.94
2011-03,5337.63
2011-04,9036.32
2011-05,8411.07
2011-06,9787.69
2011-07,9820.28
2011-08,10868.09
2011-09,10540.95
2011-10,8392.89
2011-11,9636.1
2011-12,8948.42
2012-01,10677.37
2012-02,8963.31
2012-03,8989.4
2012-04,11894.53
2012-05,13490.24
2012-06,13509.33
2012-07,13211.38
2012-08,9831.68
2012-09,10837.82
2012-10,12744.87
2012-11,10620.13
2012-12,16751.57
2013-01,12709.05
2013-02,14455.64
2013-03,10914.53
2013-04,13351.3
2013-05,16386.35
2013-06,18029.7
2013-07,17254.18
2013-08,19255.59
2013-09,18413.49
2013-10,15090.37
2013-11,16331.85
2013-12,21421.68
2014-01,17113.27
2014-02,17727.8
2014-03,17727.8
2014-04,14649.25
2014-05,16889.92
2014-06,18341.56
2014-07,19277.69
2014-08,19231.79
2014-09,20661.43
2014-10,16460.82
2014-11,17202.48
2014-12,17882.22
2015-01,1126.71
2015-02,1019.88
2015-03,218.85
2015-04,779.16
2015-05,1161.41
2015-06,1199.48
2015-07,740.34
2015-08,128.3
2015-09,632.8
2015-10,338.45
2015-11,440.51
2015-12,365.21
2016-01,913.35
2016-02,38.46
2016-03,655.53
2016-04,127.38
2016-05,190.18
2016-06,668.69
2016-07,1832.99
2016-08,933.45
2016-09,74.93
2016-10,81.57
2016-11,196.07
2016-12,50.25
2017-01,300.26
2017-02,222.07
2017-03,125.4
2017-04,4.74
2017-05,294.17
2017-06,23.18
2017-07,11.28
2017-08,15.16
2017-09,28.79
2017-10,78.21
2017-11,30.82
2017-12,34.36
2018-01,71.64
2018-02,80.02
2018-03,81.43
2018-04,89.83
2018-05,124.65
2018-06,404.59
2018-07,92.95
2018-08,204.7
2018-09,298.72
2018-10,640.53
2018-11,141.87
2018-12,123.25
2019-01,78.47
2019-02,104.68
2019-03,172.44
2019-04,22.27
2019-05,172.76
2019-06,613.44
2019-07,1151.62
2019-08,489.07
2019-09,135.95
2019-10,730.04
2019-11,1409.08
2019-12,744.66
