Month,#Passengers
2008-01,4551.53
2008-02,3840.42
2008-03,4307.03
2008-04,3892.91
2008-05,4272.24
2008-06,4919.1
2008-07,4405.55
2008-08,5337.33
2008-09,4767.47
2008-10,3863.37
2008-11,4599.37
2008-12,5623.36
2009-01,5078.06
2009-02,4266.63
2009-03,4716.43
2009-04,4489.13
2009-05,4155.53
2009-06,3909.28
2009-07,4811.89
2009-08,4576.69
2009-09,4521.19
2009-10,4368.3
2009-11,4296.13
2009-12,4963.31
2010-01,4325.29
2010-02,7033.29
2010-03,4493.39
2010-04,5188.58
2010-05,5061.17
2010-06,5235.01
2010-07,4975.08
2010-08,5930.55
2010-09,5539.83
2010-10,4443.49
2010-11,8050.48
2010-12,6731.38
2011-01,7095.73
2011-02,9793.04
2011-03,7386.3
2011-04,8456.28
2011-05,7945
2011-06,7305.06
2011-07,9427.76
2011-08,9449.46
2011-09,8281.11
2011-10,8157.03
2011-11,10688.01
2011-12,8959.85
2012-01,9584.49
2012-02,9147.48
2012-03,9300.36
2012-04,9196.58
2012-05,10037.77
2012-06,7216.81
2012-07,7882.87
2012-08,8451.98
2012-09,6211.93
2012-10,5535.71
2012-11,8834.5
2012-12,6432.23
2013-01,6610.38
2013-02,9120.07
2013-03,7268.79
2013-04,7396.91
2013-05,6026.98
2013-06,6366.22
2013-07,6445.35
2013-08,7616.4
2013-09,7921.88
2013-10,7127.37
2013-11,8698.96
2013-12,10145.75
2014-01,9051.16
2014-02,11410.23
2014-03,11410.23
2014-04,9271.74
2014-05,9922.8
2014-06,7938.06
2014-07,8223.92
2014-08,10128.75
2014-09,8774.03
2014-10,7916.9
2014-11,7114.37
2014-12,9036.17
2015-01,9691.88
2015-02,10039.89
2015-03,10300.72
2015-04,9458.97
2015-05,11047.15
2015-06,8728.69
2015-07,9082.66
2015-08,9597.48
2015-09,9951.62
2015-10,9271.49
2015-11,7814.83
2015-12,11242.54
2016-01,9745.37
2016-02,9389.8
2016-03,11317.33
2016-04,9401.95
2016-05,10161.78
2016-06,9830.07
2016-07,8069.84
2016-08,7334.8
2016-09,8235.38
2016-10,7849.43
2016-11,7044.65
2016-12,9043.57
2017-01,10090.46
2017-02,10325.75
2017-03,10202.03
2017-04,9142.73
2017-05,8609.76
2017-06,7936.45
2017-07,6982.8
2017-08,7507.41
2017-09,7593.99
2017-10,7621.83
2017-11,7956.11
2017-12,11318.15
2018-01,8583.54
2018-02,10883.32
2018-03,11840.25
2018-04,9402.3
2018-05,11597.18
2018-06,11216.74
2018-07,7518.44
2018-08,11947.46
2018-09,11643.99
2018-10,11658.87
2018-11,9696.85
2018-12,12787.92
2019-01,12207.87
2019-02,12708.68
2019-03,16631.12
2019-04,10788.77
2019-05,11910.95
2019-06,9199.1
2019-07,9516.26
2019-08,8318.94
2019-09,10393.7
2019-10,8625.62
2019-11,7934.51
2019-12,9536.39
