Month,#Passengers
2008-01,8231.72
2008-02,9554.57
2008-03,10336.25
2008-04,9707.03
2008-05,7959.71
2008-06,9529.33
2008-07,7588.43
2008-08,7932.39
2008-09,8317.69
2008-10,7691.63
2008-11,6951.28
2008-12,9182.08
2009-01,7677.15
2009-02,8410.35
2009-03,7078.81
2009-04,8157.7
2009-05,6918.15
2009-06,6631.76
2009-07,6817.8
2009-08,7885.08
2009-09,7473.22
2009-10,8879.49
2009-11,8002.23
2009-12,9495.51
2010-01,8335.79
2010-02,12780.61
2010-03,10916.27
2010-04,12773.92
2010-05,9715.26
2010-06,7558.49
2010-07,6421.7
2010-08,7067.14
2010-09,6600.32
2010-10,8394.96
2010-11,9270.82
2010-12,8763.27
2011-01,6999.27
2011-02,11657.28
2011-03,6679.63
2011-04,9076.6
2011-05,9059.56
2011-06,9731.33
2011-07,11351.16
2011-08,13192.43
2011-09,8278.98
2011-10,9279.98
2011-11,9474.16
2011-12,9931.94
2012-01,8243.12
2012-02,9750.32
2012-03,9408.06
2012-04,11940.04
2012-05,11468.85
2012-06,14407.25
2012-07,12032.12
2012-08,12528.12
2012-09,12217.4
2012-10,11562.82
2012-11,14670.1
2012-12,14884.52
2013-01,13469.2
2013-02,17882.31
2013-03,14460.23
2013-04,16486.65
2013-05,17075.91
2013-06,19559.85
2013-07,19428.3
2013-08,21636.25
2013-09,21602.88
2013-10,19393.85
2013-11,18954.13
2013-12,19910.51
2014-01,20413.65
2014-02,20820.08
2014-03,20820.08
2014-04,17293.52
2014-05,21256.05
2014-06,18662.52
2014-07,21544.05
2014-08,21829.41
2014-09,23289.62
2014-10,21970.37
2014-11,20516.98
2014-12,21625.61
2015-01,22347.83
2015-02,17982.88
2015-03,19255.07
2015-04,18381.54
2015-05,20197.3
2015-06,19868.27
2015-07,20017.4
2015-08,20866.93
2015-09,21185.87
2015-10,21142.42
2015-11,16059.13
2015-12,17794.52
2016-01,18540.66
2016-02,17349.91
2016-03,18847.89
2016-04,20344.3
2016-05,23194.89
2016-06,22793.68
2016-07,21926.38
2016-08,19562.56
2016-09,21159
2016-10,24798.05
2016-11,16200.14
2016-12,18362.46
2017-01,19587.09
2017-02,20338.46
2017-03,22172.75
2017-04,22478.3
2017-05,20679.2
2017-06,19876.4
2017-07,20288.35
2017-08,19470.54
2017-09,22631.55
2017-10,18970.99
2017-11,19463.48
2017-12,19721.12
2018-01,18565.11
2018-02,18634.1
2018-03,21721.28
2018-04,23418.14
2018-05,20886.93
2018-06,19925.99
2018-07,22352.76
2018-08,21943.95
2018-09,23403.75
2018-10,23227.84
2018-11,18610.7
2018-12,20227.31
2019-01,21915.48
2019-02,19333.72
2019-03,28616.11
2019-04,22436.1
2019-05,28207.9
2019-06,23257.91
2019-07,22097.4
2019-08,24585.62
2019-09,27495.17
2019-10,27199.38
2019-11,22745.82
2019-12,23489.65
